Œ¿–«±Í ∂,PRN,tk,X,Y,Z,clockBias
C,25,1186,18427457.9,445954.916,-20960760.4,0.000329541653
C,26,1186,9183005.37,24921419.8,8485933.42,-0.000251176507
C,27,1186,-5772386.13,-15529721.1,22435066.6,0.000273151998
C,28,1186,13325951.3,-14323479.1,19906788.4,0.00020786219
C,29,1186,-27213112.5,4695409.59,-4002802.05,0.000243656251
C,30,1186,-22883064.8,-8102589.09,13735127,-2.69444145e-05
C,32,1186,594010.566,-23396990.8,-15168222.1,-0.000569747204
C,33,1186,18919718.7,-10708161.4,17493664.1,-0.000949972485
C,34,1186,23903642.2,7227052.48,-12493488.1,0.0003723542
C,35,1186,-12847059.7,14863313.5,-19814878.1,0.000430391999
C,36,1186,-18598828.1,-1409035.34,20773414.7,-1.0070507e-05
C,37,1186,-8287383.64,-25131465.5,-8898505.34,-0.000937300611
C,38,1186,-7140639.06,32641117.7,-25576099.3,0.000137684604
C,39,1186,-16824504.3,19816439.7,33207785.9,-7.16898547e-06
C,40,1186,-24500824.3,32836434.5,-10541756.8,-5.71085496e-05
C,41,1186,14249318.4,-23884350.2,2257117.19,-0.000892868247
C,42,1186,12655608.6,9518218.24,23026522.4,-0.000453242134
C,43,1186,27448190,-4070995.25,3083624.42,6.09706785e-05
C,44,1186,6222116.72,15484178,-22384560.5,0.000388692855
C,45,1186,-7257565.88,16785101.7,21062109,-7.09474677e-05
C,46,1186,-19109022.2,-18159436.5,9204558.88,-0.000124944925
C,59,1186,-32341870.6,26982073.7,-2075885.52,-1.39761952e-07
C,60,1186,7303265.94,41286799.4,-4418373.09,-2.23789778e-07
C,62,1186,-39631766.4,14421161.7,-203515.691,2.43228177e-07
C,1,1486,-34356388,24277069,-2670127.96,0.000885075687
C,2,1486,4459765.34,41851329.5,-3025443.21,0.000440156234
C,3,1486,-14772861.9,39345037.2,-3630394.66,-1.75208003e-05
C,4,1486,-39636690,14190932.4,-1933816.04,0.000835311038
C,5,1486,21891372.3,35955109.3,-2374747.42,-0.000746209036
C,6,1486,-7788004.59,23391070.9,34248660.4,0.00011927313
C,7,1486,-16655989.1,37221288.5,-11030629.4,-0.000823931214
C,8,1486,-1194059.07,36544196.9,-20797563.1,2.75468439e-05
C,9,1486,2006416.2,25963112.4,33705335.5,-0.000509022681
C,10,1486,-10634365.9,37445219.7,-16530998.8,7.93411532e-05
C,11,1486,27253740.1,2823167.39,-5213861.29,0.000417878485
C,12,1486,14548874.8,12822997.3,-20028201.4,0.0007666633
C,13,1486,4747320.13,39629364.1,-12965239.2,0.000418564872
C,14,1486,16829540.3,143188.791,22266104.6,0.000221541087
C,16,1486,-10438151.8,22082836.4,34614858,-0.000347911909
C,19,1486,-18707767.2,10204322,-18002627.9,-0.000925550197
C,20,1486,-13172074.7,-8493669.03,-23072930.9,-0.000176349929
C,21,1486,-956623.389,23814142.7,14556403.9,-0.000961887644
C,22,1486,-13870436.1,24122495.7,-2298465.2,-0.000104613555
C,23,1486,7879133.88,-16118138.6,-21381139.7,-0.000780207812
C,24,1486,19050209.5,18937527,-7538168.59,0.000897334572
C,25,1486,18810476.5,1046947.36,-20595143.4,0.000329544454
C,26,1486,8970037.28,24695094.9,9332002.73,-0.000251178181
C,27,1486,-5000129.4,-15567608.1,22593887.7,0.000273153536
C,28,1486,14000235.3,-14330620.3,19433201.1,0.000207863497
C,29,1486,-27337402.9,4664410.63,-3086125.63,0.000243657749
C,30,1486,-22403108.4,-8173820.77,14465046.6,-2.69459254e-05
C,32,1486,841355.023,-23841561.7,-14447669.5,-0.000569748993
C,33,1486,18659049.6,-10157110.1,18092741.8,-0.000949973432
C,34,1486,23466900,7296031.11,-13257948.7,0.000372356755
C,35,1486,-13517846.6,14893105.6,-19339169.9,0.000430389315
C,36,1486,-18963822.2,-2013128.73,20390208,-1.00664132e-05
C,37,1486,-8074047.67,-24888783,-9736316.54,-0.000937301406
C,38,1486,-6958799.91,32256186.2,-26109714,0.000137685176
C,39,1486,-17217696.8,19848474.1,32982673.1,-7.1690327e-06
C,40,1486,-24309841.8,33204114.5,-9810249.13,-5.71088288e-05
C,41,1486,14231260.2,-23790967.5,3188901.31,-0.00089286987
C,42,1486,12296711.8,10215124.8,22922714.7,-0.000453241017
C,43,1486,27541748.8,-4033465.94,2165654.8,6.0971195e-05
