tk,Œ¿–«±‡∫≈,X,Y,Z,÷”≤Ó
55,PG24,-17262.095404,-15529.135708,-13671.510162,-433.976188
55,PG25,-15274.727833,-10694.659004,18674.248485,489.003909
55,PG26,-5683.625579,21623.633195,13904.461353,188.729812
55,PG27,-7593.429728,20051.117783,-15664.485014,-5.238443
55,PG28,-16261.157627,8425.080535,19213.124934,-135.771625
55,PG29,-20521.345274,8.516208,16867.420793,-606.692323
55,PG30,21038.484653,-4089.054765,-15726.485034,-430.753110
55,PG31,-7258.677811,13477.149381,21507.715541,-227.811295
55,PG32,-21148.878504,15791.144040,-1462.309691,-612.349770
60,PG01,23000.851225,12744.851000,-5206.843429,170.125113
60,PG02,18906.300881,13941.657394,-12144.023749,-483.275131
60,PG03,11811.809783,20258.745367,12444.800171,202.015549
60,PG04,11919.149070,9765.906362,21659.070418,295.132631
60,PG05,-6303.311296,-25737.742000,-925.247752,-162.331490
60,PG06,14532.992493,-8829.165150,20501.609335,401.581017
60,PG07,25564.641282,5101.971208,-5764.109040,-65.258831
60,PG08,4462.048929,15796.828452,-20892.638453,-167.708935
60,PG09,20683.207158,-2727.094069,16390.840231,96.839999
60,PG10,-11590.842001,12270.097756,-20212.023083,0.970669
60,PG11,2221.470608,-15295.750909,21629.329886,-580.479593
60,PG12,-10349.504440,-21330.060560,11754.222697,-479.345152
60,PG13,6305.625677,-18440.173546,-18144.291678,626.812743
